,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
t=3600,454.75154141640405,16.074313885990993,3.9194331866630296,2.1085272892733813,1.4253413250326998
t=7200,64281.27244502381,169.03405995902884,16.94538157186313,6.8288434972939225,3.9995393101273207
t=10800,6307245.139409205,1432.093729349009,58.67630483434735,17.473734443727867,8.80022947042138
t=14400,496285940.364427,10912.120416662587,186.59004288745743,40.899533810514,17.63174235280127
t=18000,33375043672.203335,77315.34171220081,565.5359533739967,91.3897833838387,33.658956015936916
t=21600,1988633244788.8538,518122.93189626595,1657.9917636785021,198.34562600068372,62.40029083660275
t=25200,107436659904955.02,3319272.3862974434,4737.22233764257,421.62583406777,113.41163275500782
t=28800,5347610126582366.0,20478196.589201856,13251.926597932428,881.9136096500648,203.13384906568177
t=32400,2.4811798577486058e+17,122325173.14482515,36409.70280340436,1820.3995259958397,359.68683656382217
t=36000,1.0827282290967476e+19,710387035.551802,98480.43714277942,3715.3091979550454,630.9063268718106
t=39600,4.474921199381421e+20,4023719257.043057,262701.0068625231,7508.032796035359,1097.762898993544
t=43200,1.7615938520333442e+22,22286398895.609333,692117.9393081603,15039.46758438523,1896.6834105662435
t=46800,6.635799532212189e+23,120964209889.4078,1803098.0380606563,29887.56327281291,3256.549666013744
t=50400,2.401203436442598e+25,644542355231.8314,4649524.060877212,58967.05558724161,5559.820889549716
t=54000,8.374076909836619e+26,3376589258756.4575,11877111.59146312,115570.88812152254,9443.191159758655
t=57600,2.8225265534176247e+28,17413994705192.154,30077219.857911095,225127.42418714182,15962.858850546512
t=61200,9.21700211405544e+29,88511170903704.23,75554217.3038469,436053.67818344897,26865.1130469312
t=64800,2.922242002765785e+31,443815179761518.0,188369063.61709693,840135.6641687696,45028.153482215435
t=68400,9.01222137078378e+32,2197277717214637.8,466334919.70194095,1610657.3866487707,75181.64651203953
t=72000,2.7080661758241334e+34,1.074926185159658e+16,1146853718.1661813,3073484.189837527,125075.72212430801
t=75600,7.94042325891113e+35,5.1997183670329736e+16,2802879088.213944,5839137.652586558,207375.6605806453
t=79200,2.274910981281406e+37,2.4885985361035994e+17,6809805152.316149,11047407.442614095,342725.8213008151
t=82800,6.375944837699247e+38,1.1790823200329702e+18,16452517141.1468,20818998.53476034,564693.6176884564
t=86400,1.7500820093024098e+40,5.533064312618606e+18,39538328257.05792,39086990.392196216,927730.4926166083
t=90000,4.709100330264114e+41,2.5728720865109664e+19,94537189293.76192,73123184.00697592,1519965.2145979514
t=93600,1.2433063712909218e+43,1.1859957336166939e+20,224950111772.52698,136332470.69403777,2483722.8757647085
t=97200,3.223602523412952e+44,5.421595633597518e+20,532796421102.14545,253355252.4746063,4048373.4803764485
t=100800,8.214130769282167e+45,2.458688873441595e+21,1256356889897.3362,469360782.5806567,6582823.7642668
t=104400,2.058480193121081e+47,1.1065069414833734e+22,2949986084832.612,866932469.4453124,10679252.127396649
t=108000,5.0767072479987014e+48,4.943220874919926e+22,6898503565475.323,1596675049.5943918,17286456.508517284
t=111600,1.232914353429755e+50,2.1927696947246754e+23,16068871419872.041,2932568523.3578267,27921862.61627227
t=115200,2.9501612583429594e+51,9.66087716158798e+23,37288448859612.21,5371856859.029232,45008057.25533294
t=118800,6.959064176010927e+52,4.2285010934307117e+24,86214519239945.19,9814917116.25557,72406163.13911736
t=122400,1.619061710655567e+54,1.8390842442824004e+25,198636262578781.16,17888478760.01158,116259922.05986387
t=126000,3.716936220721366e+55,7.949774250475928e+25,456100042850989.3,32525272487.340496,186329537.29555213
t=129600,8.423746459139338e+56,3.416119036402745e+26,1043838757745143.4,59001522040.12829,298096458.1076703
t=133200,1.8853934377669962e+58,1.4595469584977375e+27,2381353401449564.5,106790391415.19453,476080116.5783759
t=136800,4.169106269586213e+59,6.201362754630032e+27,5415944218833182.0,192867005165.49213,759057444.1248769
t=140400,9.111428949717559e+60,2.6206736978440807e+28,1.2280746653118808e+16,347591298994.32385,1208266014.7359102
t=144000,1.9687118701330045e+62,1.1017023499124113e+29,2.7766028213001572e+16,625161036365.7688,1920279875.364082
t=147600,4.206990559940665e+63,4.607933396567785e+29,6.260041983990752e+16,1122153740200.2314,3047194541.54495
t=151200,8.893829450773905e+64,1.9177870395406803e+30,1.4075033552451014e+17,2010362394333.3196,4828231826.81789
t=154800,1.8606353299478148e+66,7.943380461282235e+30,3.1561875651766714e+17,3594849587681.779,7639166583.296164
t=158400,3.8530967462933135e+67,3.274739517427223e+31,7.059081397466666e+17,6416425974721.055,12069535366.543184
t=162000,7.900413708400766e+68,1.343901602657723e+32,1.5748345672527283e+18,11432268048378.287,19043105900.724182
t=165600,1.6043186310511525e+70,5.4907021018492116e+32,3.5047012099355935e+18,20333775515243.77,30005638187.835518
t=169200,3.227281060557286e+71,2.233603215325158e+33,7.780777796945719e+18,36105122207555.22,47217207134.85215
t=172800,6.432622289564188e+72,9.047899132642873e+33,1.723361598433364e+19,64003346250532.0,74206831778.73598
t=176400,1.2706902268857316e+74,3.650033515900587e+34,3.8083380103106265e+19,113275687551763.39,116478792836.75743
t=180000,2.48818583484215e+75,1.4665443931668156e+35,8.396986825576962e+19,200164588909491.12,182608857475.53693
t=183600,4.830639461597612e+76,5.869254225252619e+35,1.847407062158708e+20,353158738058188.0,285943951138.6585
t=187200,9.300122334488905e+77,2.339905810493447e+36,4.05577795846194e+20,622156754802876.0,447234879230.31885
t=190800,1.7758857249398993e+79,9.293480581864498e+36,8.88543322567541e+20,1094438131054566.2,698710387661.604
t=194400,3.3640352917931186e+80,3.6775476632640987e+37,1.9426542207386434e+21,1922462751925267.8,1090375713281.9015
t=198000,6.322648595443523e+81,1.4500134984656723e+38,4.238807404951646e+21,3372199192887307.0,1699741221254.539
t=201600,1.1792379498728124e+83,5.6970785164546746e+38,9.230840080462502e+21,5907038515135677.0,2646835460781.231
t=205200,2.1829106519421384e+84,2.230643386261449e+39,2.0063445959029243e+22,1.0333321042889628e+16,4117352393869.317
t=208800,4.0111437737133956e+85,8.70434391425428e+39,4.352645730992808e+22,1.8052417166167172e+16,6398308711186.037
