,q0=0.005,q0=0.01,q0=0.015,q0=0.02,q0=0.025,q0=0.03,q0=0.035,q0=0.04,q0=0.045,q0=0.05
alpha=0.01,,,,,,,,,,
alpha=0.025,,,,,,,,,,
alpha=0.05,256.0131244319729,128.00656221598646,85.33770814399097,64.00328110799323,51.20262488639458,42.66885407199548,36.57330349028184,32.001640553996616,28.445902714663656,25.60131244319729
alpha=0.075,134.4426059312483,67.22130296562415,44.81420197708277,33.610651482812074,26.88852118624966,22.407100988541384,19.2060865616069,16.805325741406037,14.938067325694256,13.44426059312483
alpha=0.1,98.67076755940919,49.33538377970459,32.890255853136395,24.667691889852296,19.734153511881836,16.445127926568198,14.095823937058455,12.333845944926148,10.963418617712133,9.867076755940918
