,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
n=86400,0.0004987755973885417,0.0002294818209298165,0.00012777384783682882,9.038373238080356e-05,7.02105051194e-05
n=172800,0.00045007780391297423,0.00020676353193081434,0.00011486760416994981,8.10846150450375e-05,6.285755399228646e-05
n=259200,0.00042379939336243647,0.00019450423879423576,0.0001079031085421616,7.606660487113739e-05,5.888973831346577e-05
n=345600,0.0004060780192819975,0.00018623693818192478,0.0001032064610008564,7.26826088999924e-05,5.621396209818173e-05
n=432000,0.00039283700448514695,0.00018005979586548858,9.96972308865456e-05,7.015416271274701e-05,5.421468189006505e-05
n=518400,0.000382334758609457,0.00017516033246244697,9.691384924546388e-05,6.814869984231793e-05,5.2628932410725796e-05
n=604800,0.00037367128043020576,0.00017111868320144688,9.461779120250039e-05,6.64943599970196e-05,5.132082115770083e-05
n=691200,0.00036632301377967824,0.0001676906008697065,9.267030009146172e-05,6.509116718435134e-05,5.0211295618778606e-05
n=777600,0.000359959521096626,0.00016472193113132856,9.098380094481917e-05,6.387602249499877e-05,4.925046254284616e-05
n=864000,0.00035435939576381793,0.0001621093843060767,8.949961496940032e-05,6.280664709114386e-05,4.8404891420645164e-05
n=950400,0.0003493673251601043,0.0001597805046056958,8.817658008392613e-05,6.185338315495234e-05,4.7651131372140646e-05
n=1036800,0.0003448703301677818,0.00015768258548922015,8.698475374032134e-05,6.099465668897989e-05,4.6972123514957394e-05
n=1123200,0.0003407837650196945,0.00015577613837074698,8.590170250129032e-05,6.0214304108295054e-05,4.635508706079593e-05
n=1209600,0.0003370426413376176,0.0001540308451464641,8.491020267382809e-05,5.949991551685506e-05,4.579020931929004e-05
n=1296000,0.00033359602381577506,0.0001524229436925814,8.39967550124725e-05,5.8841764531776e-05,4.52697994940548e-05
n=1382400,0.00033040328199588,0.00015093347925925,8.315059133744532e-05,5.823209253871316e-05,4.478772273271327e-05
n=1468800,0.0003274315081811353,0.00014954709988670387,8.236299021142738e-05,5.7664615628028646e-05,4.433901025395144e-05
n=1555200,0.00032465369279333116,0.0001482512051805558,8.162679335941533e-05,5.713417616897437e-05,4.391958384201477e-05
n=1641600,0.0003220474060648284,0.00014703533130031463,8.093605628113997e-05,5.663649107137075e-05,4.352605679345314e-05
n=1728000,0.0003195938268124704,0.00014589069786707581,8.02857908496506e-05,5.616796632452049e-05,4.3155587270267006e-05
n=1814400,0.0003172770144521779,0.00014480986834686368,7.967177237533564e-05,5.572555798431257e-05,4.2805768380331666e-05
n=1900800,0.0003150833548639577,0.00014378649153789963,7.909039274502531e-05,5.530666635802519e-05,4.247454450773876e-05
n=1987200,0.00031300113271494784,0.00014281510205256157,7.853854707593608e-05,5.490905433701057e-05,4.216014673722902e-05
n=2073600,0.0003110201972334608,0.0001418909643957009,7.801354513667441e-05,5.453078357436971e-05,4.1861042388925294e-05
n=2160000,0.0003091316980369143,0.00014100994972420473,7.75130413344328e-05,5.417016403981173e-05,4.157589513060556e-05
n=2246400,0.0003073278741616467,0.00014016843742607047,7.703497880213232e-05,5.38257137337088e-05,4.130353312300373e-05
n=2332800,0.0003056018839789052,0.00013936323577354447,7.657754432152817e-05,5.3496126208604214e-05,4.104292333858049e-05
n=2419200,0.00030394766687624254,0.0001385915173952918,7.613913166499512e-05,5.318024415648956e-05,4.079315067658838e-05
n=2505600,0.00030235982986634186,0.00013785076637764387,7.571831154378474e-05,5.287703775613085e-05,4.055340084197873e-05
n=2592000,0.0003008335539392262,0.00013713873457641182,7.531380678879766e-05,5.25855867904906e-05,4.032294620538003e-05
n=2678400,0.0002993645161861705,0.00013645340528646962,7.492447171129989e-05,5.2305065775853915e-05,4.010113404447539e-05
n=2764800,0.00029794882462334257,0.00013579296283595393,7.454927482940967e-05,5.2034731516036354e-05,3.9887376702928826e-05
n=2851200,0.00029658296331754014,0.00013515576698654844,7.418728432491733e-05,5.177391262383257e-05,3.9681143304837806e-05
n=2937600,0.0002952637459269905,0.0001345403312595467,7.383765573033718e-05,5.1522000649376114e-05,3.948195273979473e-05
n=3024000,0.0002939882761605827,0.00013394530448944844,7.34996214495187e-05,5.1278442529602704e-05,3.928936769256477e-05
n=3110400,0.0002927539139595639,0.0001333694550471873,7.317248179487373e-05,5.104273413045536e-05,3.9102989536810706e-05
n=3196800,0.00029155824643959906,0.00013281165728415501,7.285559728623614e-05,5.0814414698111976e-05,3.8922453947595786e-05
n=3283200,0.00029039906281424,0.0001322708798335921,7.254838200489058e-05,5.0593062070476066e-05,3.8747427115037715e-05
n=3369600,0.0002892743326650912,0.0001317461754732778,7.225029783457353e-05,5.037828852774292e-05,3.857760246328934e-05
n=3456000,0.0002881821870386862,0.0001312366723069372,7.196084945163736e-05,5.0169737182747124e-05,3.841269779633239e-05
n=3542400,0.00028712090194181033,0.00013074156606452972,7.16795799508495e-05,4.996707882929368e-05,3.825245280590593e-05
n=3628800,0.000286088883880415,0.00013026011335594506,7.140606701282208e-05,4.977000918074101e-05,3.809662688801243e-05
n=3715200,0.00028508465714715934,0.00012979162574042034,7.113991953485211e-05,4.957824644247717e-05,3.794499722343854e-05
n=3801600,0.0002841068526106892,0.00012933546449658058,7.088077465978513e-05,4.939152917117734e-05,3.779735708503797e-05
n=3888000,0.0002831541977996589,0.0001288910359964652,7.062829514800292e-05,4.920961438128655e-05,3.765351434049903e-05
n=3974400,0.00028222550810672574,0.00012845778760205953,7.038216704624627e-05,4.903227586537599e-05,3.7513290124225294e-05
n=4060800,0.00028131967896474145,0.00012803520401535875,7.014209761408864e-05,4.8859302700140175e-05,3.7376517656005195e-05
n=4147200,0.00028043567886945484,0.00012762280402335493,6.990781347476573e-05,4.869049791404554e-05,3.724304118750182e-05
n=4233600,0.0002795725431416197,0.00012722013758796166,6.967905896196385e-05,4.852567729616975e-05,3.711271506038434e-05
n=4320000,0.00027872936833681224,0.00012682678323810103,6.945559463826624e-05,4.836466832872289e-05,3.698540286225665e-05
n=4406400,0.0002779053072242042,0.00012644234572722034,6.92371959643902e-05,4.8207309228215524e-05,3.686097666849448e-05
n=4492800,0.0002770995642664532,0.00012606645392460137,6.902365210124118e-05,4.805344808232289e-05,3.67393163597511e-05
n=4579200,0.0002763113915421825,0.00012569875891312127,6.881476482925228e-05,4.790294207125493e-05,3.662030900628292e-05
n=4665600,0.0002755400850601977,0.00012533893226977682,6.861034757155113e-05,4.775565676393528e-05,3.650384831142773e-05
n=4752000,0.0002747849814213083,0.00012498666450838357,6.841022450925856e-05,4.761146548056233e-05,3.638983410757214e-05
n=4838400,0.0002740454547893868,0.00012464166366651008,6.8214229778727e-05,4.747024871420901e-05,3.627817189880193e-05
n=4924800,0.000273320914137944,0.00012430365402097527,6.802220674181524e-05,4.733189360504622e-05,3.616877244516264e-05
n=5011200,0.0002726108007429023,0.00012397237491818038,6.783400732140095e-05,4.7196293461570935e-05,3.6061551384087476e-05
n=5097600,0.0002719145858956593,0.0001236475797072241,6.764949139528427e-05,4.706334732390581e-05,3.595642888509175e-05
n=5184000,0.0002712317688137792,0.00012332903476519524,6.74685262424571e-05,4.6932959564828905e-05,3.585332933430118e-05
