evt_block_number,evt_index,evt_block_time,floor_price_eth
13009967,52,2021-08-12T11:02:41+00:00,45.8093399698176538
12897390,211,2021-07-25T19:51:41+00:00,22.5029459720129175
13010447,83,2021-08-12T12:49:48+00:00,45.4901259020220490
12898758,179,2021-07-26T00:57:16+00:00,22.5697251707252430
12899651,9,2021-07-26T04:11:16+00:00,22.2681529926050293
12901908,327,2021-07-26T12:49:02+00:00,21.8794853830892992
13010799,174,2021-08-12T14:06:12+00:00,45.4242742098220656
13011008,228,2021-08-12T14:52:12+00:00,45.8589156326679407
12903289,40,2021-07-26T17:59:06+00:00,21.9798357597907974
13011201,217,2021-08-12T15:37:05+00:00,45.5915324306464872
12908468,225,2021-07-27T13:59:23+00:00,21.7779865958858759
12908630,147,2021-07-27T14:37:03+00:00,21.8874330155319034
12908643,403,2021-07-27T14:38:44+00:00,22.5437557978682680
12908713,64,2021-07-27T14:54:41+00:00,22.5270042293383054
13011903,15,2021-08-12T18:13:37+00:00,45.9250990461589827
12913917,194,2021-07-28T10:32:55+00:00,22.3255688987241637
12915687,152,2021-07-28T17:24:06+00:00,22.5100733139715332
12921148,3,2021-07-29T14:13:16+00:00,22.7999939645361537
12921366,29,2021-07-29T15:02:25+00:00,23.0543203361598738
12921535,11,2021-07-29T15:37:38+00:00,23.6907197957625027
12921578,277,2021-07-29T15:46:44+00:00,24.4608953938394905
12921602,33,2021-07-29T15:53:05+00:00,23.8980498543202528
12921657,79,2021-07-29T16:04:19+00:00,23.0857140489067045
12922685,120,2021-07-29T20:00:50+00:00,23.2659050993133983
13012708,14,2021-08-12T21:08:13+00:00,45.8460284897663559
12922893,58,2021-07-29T20:46:40+00:00,23.7059356938370728
13012754,4,2021-08-12T21:17:41+00:00,45.0990084623258461
13012754,9,2021-08-12T21:17:41+00:00,44.8704748287296890
12924244,83,2021-07-30T01:54:32+00:00,24.2373959899410044
12924349,37,2021-07-30T02:18:30+00:00,24.2693306235612180
12924502,9,2021-07-30T02:55:22+00:00,23.9635791856249014
13013408,69,2021-08-12T23:41:21+00:00,44.3375781439810163
13013408,84,2021-08-12T23:41:21+00:00,44.3397779052276751
12928561,276,2021-07-30T18:22:39+00:00,23.9750579334551817
12929165,9,2021-07-30T20:46:09+00:00,23.7378746353093973
12929570,73,2021-07-30T22:11:25+00:00,23.8579393840832760
12929853,186,2021-07-30T23:20:01+00:00,24.2566577113068795
12929898,230,2021-07-30T23:29:41+00:00,24.5399175566655751
12929906,6,2021-07-30T23:31:07+00:00,24.7888597329494056
12929911,9,2021-07-30T23:31:52+00:00,24.6939792815550968
12929941,21,2021-07-30T23:41:34+00:00,25.0329564481805541
12930012,11,2021-07-30T23:53:55+00:00,26.0825224934018321
12930012,21,2021-07-30T23:53:55+00:00,26.3596787874272490
12930053,247,2021-07-31T00:04:05+00:00,25.7194182480181516
12930073,11,2021-07-31T00:08:29+00:00,26.1680666013833401
12930141,114,2021-07-31T00:24:08+00:00,27.1690113847489429
12930169,263,2021-07-31T00:28:51+00:00,27.8646403251399091
12930437,354,2021-07-31T01:31:53+00:00,28.0090229838327157
