alpha,mu_max
0.001,6.513258261545114e-05
0.01,1.4366083245027727e-05
0.025,8.080984062967302e-06
0.05,5.366296089595263e-06
0.075,4.277149659834392e-06
0.1,3.6537614509821662e-06
