,q0=0.005,q0=0.01,q0=0.015,q0=0.02,q0=0.025,q0=0.03,q0=0.035,q0=0.04,q0=0.045,q0=0.05
alpha=0.01,2.235279555429536,1.117639777714768,0.7450931851431786,0.558819888857384,0.44705591108590714,0.3725465925715893,0.31932565077564795,0.279409944428692,0.2483643950477262,0.22352795554295357
alpha=0.025,1.1664158973054704,0.5832079486527352,0.3888052991018235,0.2916039743263676,0.23328317946109406,0.19440264955091174,0.16663084247221005,0.1458019871631838,0.1296017663672745,0.11664158973054703
alpha=0.05,0.7166840460300951,0.35834202301504753,0.2388946820100317,0.17917101150752376,0.14333680920601902,0.11944734100501585,0.10238343514715643,0.08958550575376188,0.07963156067001056,0.07166840460300951
alpha=0.075,0.544118413887835,0.2720592069439175,0.18137280462927835,0.13602960347195875,0.108823682777567,0.09068640231463918,0.07773120198397643,0.06801480173597937,0.060457601543092786,0.0544118413887835
alpha=0.1,0.45165711409706494,0.22582855704853247,0.15055237136568833,0.11291427852426623,0.09033142281941299,0.07527618568284417,0.06452244487100928,0.05645713926213312,0.050184123788562775,0.045165711409706495
