,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
n=4406400,3.815756708255866e-07,2.01211832449077e-07,1.2207756280565056e-07,8.80540026900279e-08,6.695128147592059e-08
n=4492800,3.787679403870373e-07,1.995733889573086e-07,1.2095214159911386e-07,8.714915399450184e-08,6.618324033937824e-08
n=4579200,3.7603138005952433e-07,1.9797647659104824e-07,1.198552474730736e-07,8.626724132632654e-08,6.543466744388132e-08
n=4665600,3.7336289319310156e-07,1.9641928830860787e-07,1.1878563919885896e-07,8.540726672657167e-08,6.470471571575367e-08
n=4752000,3.707595720622625e-07,1.94900127314645e-07,1.1774215127428985e-07,8.456829312108123e-08,6.399258976068959e-08
n=4838400,3.68218683152521e-07,1.9341739847418575e-07,1.167236880261034e-07,8.374943957877177e-08,6.32975418389689e-08
n=4924800,3.6573765383234524e-07,1.9196960053506682e-07,1.1572921826767083e-07,8.294987701638947e-08,6.261886821962766e-08
n=5011200,3.633140602582238e-07,1.9055531906997624e-07,1.1475777045099547e-07,8.216882430067298e-08,6.195590587195066e-08
n=5097600,3.609456163797317e-07,1.89173220060381e-07,1.138084282596129e-07,8.140554470500598e-08,6.1308029457856e-08
n=5184000,3.5863016392775454e-07,1.8782204405418245e-07,1.128803265955769e-07,8.065934268291788e-08,6.067464859322245e-08
