,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
n=86400,0.0008207004115318801,0.0003474738376364814,0.0001813563359664254,0.0001235157989440982,9.351799966806948e-05
n=172800,0.0007888320880400878,0.00033398820165059045,0.00017432360497554583,0.00011872990821094683,8.989738620457094e-05
n=259200,0.0007707673145177168,0.0003263437781856098,0.0001703370541101789,0.00011601699385825238,8.784501711000606e-05
n=345600,0.000758201703126563,0.00032102642092943326,0.0001675640634107254,0.00011412992743855832,8.641741701075339e-05
n=432000,0.000748596361380443,0.0003169617533186122,0.0001654443477440595,0.00011268742557418059,8.532613809059106e-05
n=518400,0.0007408386634138406,0.00031367894834479464,0.00016373237180903247,0.00011152239739758024,8.444477306645137e-05
n=604800,0.0007343424031140726,0.0003109299426842104,0.00016229877110058083,0.00011054680820548478,8.370672208269657e-05
n=691200,0.0007287611685407911,0.00030856814609247785,0.00016106709911253305,0.00010970863487544761,8.30726287001511e-05
n=777600,0.000723873406231083,0.0003064998043640134,0.00015998846322255947,0.00010897460516252918,8.251732185981897e-05
n=864000,0.0007195289503795382,0.00030466137222352773,0.00015902972470236283,0.00010832216760942571,8.20237409737165e-05
n=950400,0.0007156213878665293,0.0003030078191065548,0.00015816740020665738,0.00010773534140800851,8.157979626957461e-05
n=1036800,0.0007120726034894647,0.0003015060892049541,0.00015738425120056176,0.00010720239544778199,8.117661294874623e-05
n=1123200,0.0007088235879460678,0.00030013121170498024,0.00015666725545687975,0.00010671446788595052,8.080748686583297e-05
n=1209600,0.0007058286931836216,0.0002988638698382893,0.00015600633932127874,0.00010626470343272954,8.046723186931685e-05
n=1296000,0.0007030518929419782,0.00029768881846560004,0.0001553935524854756,0.00010584769177073497,8.015175495560567e-05
n=1382400,0.0007004642640407984,0.0002965938182395332,0.00015482251215538385,0.00010545908930213679,7.985777011386893e-05
n=1468800,0.000698042239913343,0.0002955688965570256,0.00015428801763934198,0.00010509535686952099,7.958259990709477e-05
n=1555200,0.0006957663689365663,0.00029460582212508787,0.0001537857763352538,0.00010475357328556795,7.932403440389767e-05
n=1641600,0.0006936204122110476,0.00029369772317067394,0.00015331220462783314,0.00010443129984030644,7.908022867578963e-05
n=1728000,0.0006915906753200854,0.00029283880466290555,0.00015286428042058457,0.00010412647994666834,7.884962687721462e-05
n=1814400,0.000689665504922123,0.00029202413528739164,0.00015243943204335629,0.00010383736354022439,7.863090505257303e-05
n=1900800,0.0006878349037346122,0.0002912494845199465,0.00015203545328662434,0.00010356244925859741,7.842292739389563e-05
n=1987200,0.0006860902320373226,0.0002905111963125171,0.00015165043752896762,0.00010330043961411137,7.822471232813551e-05
n=2073600,0.0006844239733958204,0.00028980608995499466,0.00015128272603671006,0.00010305020581083467,7.803540590062146e-05
n=2160000,0.0006828295487295846,0.0002891313813948999,0.00015093086693230044,0.00010281075982187916,7.785426065102606e-05
n=2246400,0.0006813011672428738,0.0002884846201561837,0.00015059358229759895,0.0001025812320026373,7.768061867737242e-05
n=2332800,0.0006798337057940873,0.00028786363829227246,0.00015026974155299687,0.00010236085297482895,7.751389793098585e-05
n=2419200,0.0006784226104410747,0.0002872665087232504,0.00014995833973034458,0.00010214893884086719,7.73535810308918e-05
n=2505600,0.0006770638154504027,0.00028669151096322155,0.00014965847959984188,0.00010194487902090871,7.719920606232378e-05
n=2592000,0.0006757536761856718,0.00028613710272083217,0.00014936935685977009,0.00010174812617421993,7.705035895205253e-05
n=2678400,0.0006744889131193177,0.00028560189620688905,0.00014909024778096458,0.00010155818779103337,7.690666710747348e-05
n=2764800,0.0006732665648295657,0.00028508463824420343,0.0001488204988341397,0.0001013746191337705,7.676779407651218e-05
n=2851200,0.0006720839483084414,0.0002845841934712335,0.00014855951793062337,0.00010119701727621505,7.663343503815103e-05
n=2937600,0.0006709386252593245,0.0002840995300803081,0.00014830676698487105,0.00010102501604217936,7.650331297343819e-05
n=3024000,0.0006698283733327982,0.0002836297076455752,0.00014806175556676565,0.0001008582816857897,7.637717539754438e-05
n=3110400,0.0006687511614584706,0.000283173866684233,0.0001478240354578218,0.00010069650918689081,7.625479155716962e-05
n=3196800,0.0006677051285932676,0.0002827312196634998,0.00014759319596133912,0.00010053941905952845,7.613595001610161e-05
n=3283200,0.0006666885653345378,0.0002823010432198789,0.00014736885984476564,0.00010038675459065969,7.602045656625005e-05
n=3369600,0.0006656998979474036,0.00028188267140005443,0.00014715067981483835,0.00010023827944142636,7.590813241296654e-05
n=3456000,0.0006647376744362647,0.00028147548976680583,0.0001469383354438305,0.00010009377555541677,7.579881259260572e-05
