,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
t=3600,1213.1191413767576,19.009347938346426,3.7338136243818365,1.8653953059435593,1.20845485602424
t=7200,848842.935573277,316.17292030887785,18.85586007755922,6.564394256050744,3.5853093836822154
t=10800,489139677.02040994,4632.62627918488,78.82970291572785,18.40418437796911,8.316615586640829
t=14400,249395301066.0614,64284.440566506564,311.4579466803096,47.87917251365154,17.67253318451812
t=18000,116277590348046.08,858829.659887805,1198.2354318951238,120.5019880190696,36.05129848636015
t=21600,5.052993285206496e+16,11137964.087648727,4531.320505890172,297.8859245250688,71.94343771949796
t=25200,2.0723344797433283e+19,140958890.03486544,16912.229023911706,727.9437094584565,141.6780251763601
t=28800,8.091687070850041e+21,1747331790.0374827,62438.17529404974,1763.8780853030457,276.5505597418525
t=32400,3.027687517400073e+24,21273883983.26069,228365.06803571116,4245.069328048371,536.3499354519164
t=36000,1.0910692300104053e+27,254932595348.2074,828373.6651833509,10157.610815493053,1034.9667176472194
t=39600,3.801810157416175e+29,3011898216709.1465,2982780.8355205418,24182.156252592176,1988.761999602252
t=43200,1.2850773477910634e+32,35130481090562.758,10668988.849754306,57309.148578955734,3807.730139309002
t=46800,4.225048453198252e+34,404993079830793.44,37930371.49330788,135256.9079574256,7266.9691038880255
t=50400,1.3541799079391425e+37,4618956566021986.0,134099573.29326312,318017.00505381403,13828.58664245827
t=54000,4.239337983234624e+39,5.2158519755653976e+16,471657916.6119999,745112.8326100481,26244.92880425371
t=57600,1.298425230419727e+42,5.835737255527822e+17,1650988879.445044,1740131.7102056032,49687.039981227594
t=61200,3.8963743192214035e+44,6.473217356912214e+18,5753286554.334133,4051576.420139924,93852.21410981978
t=64800,1.147046068874655e+47,7.122483821458471e+19,19964737450.36162,9406537.968425363,176893.9754140133
t=68400,3.316393871032807e+49,7.777424403895587e+20,69007139558.6097,21780711.270064123,332739.414373756
t=72000,9.426535245599997e+51,8.431737314940635e+21,237630818128.24078,50305502.47385324,624694.0253753524
t=75600,2.636511812893469e+54,9.079046984986859e+22,815408972169.7267,115909269.34674506,1170701.9121430884
t=79200,7.261922042040223e+56,9.713018379045992e+23,2788620865116.3276,266460264.06887037,2190184.7186453044
t=82800,1.9712300719684521e+59,1.0327467108100384e+25,9506371410477.988,611231625.3244056,4090782.8184491345
t=86400,5.276889236062152e+61,1.0916462865628312e+26,32308380774946.504,1399205421.5016181,7628795.170472789
t=90000,1.3939258920302952e+64,1.1474424054926918e+27,109483592806867.89,3196678501.7907367,14205584.951448113
t=93600,3.635521031510969e+66,1.199620184702528e+28,369972844577724.06,7289446079.834206,26414552.069506586
t=97200,9.36663970147617e+68,1.2477152304897955e+29,1246886461140550.8,16592108567.331459,49049377.636060916
t=100800,2.3850578847469443e+71,1.2913195612717644e+30,4191464199567002.0,37700835469.67082,90960557.94725035
t=104400,6.004882390712333e+73,1.3300861845714208e+31,1.4054927117871344e+16,85520710074.71877,168470407.88612825
t=108000,1.4954759325853082e+76,1.3637323095151068e+32,4.7016968281571256e+16,193681934238.0042,311648501.0331823
t=111600,3.685448072920169e+78,1.3920412114197594e+33,1.5692074003697133e+17,437954670424.90173,575832264.2831112
t=115200,8.99068258903214e+80,1.4148627966241084e+34,5.225644579349572e+17,988813856343.4393,1062756777.9794029
t=118800,2.171861332633301e+83,1.4321129431623245e+35,1.7364612042780483e+18,2229291569683.7876,1959273152.912418
t=122400,5.196908473670625e+85,1.4437717158089898e+36,5.758188953374802e+18,5018875482302.72,3608232988.89493
t=126000,1.2321393383659753e+88,1.4498805722405078e+37,1.9055943405814387e+19,11283718117437.184,6638148770.199804
t=129600,2.895323252568785e+90,1.4505386905335344e+38,6.293977198305802e+19,25335076480464.664,12200165234.335585
t=133200,6.744823311315081e+92,1.4458985570769067e+39,2.0748895680235848e+20,56811112653182.66,22400798273.850933
t=136800,1.55807321151597e+95,1.4361609584549577e+40,6.827527788753677e+20,127233482823219.42,41091533565.54885
t=140400,3.569854964757218e+97,1.4215695213212545e+41,2.2426056631489588e+21,284604444610064.56,75308439246.72676
t=144000,8.114373886445814e+99,1.4024049411454958e+42,7.353335953217601e+21,635870070762875.2,137894885286.96573
t=147600,1.8301746751716604e+102,1.3789790344740812e+43,2.407010467116529e+22,1419041508530741.0,252276094811.1614
t=151200,4.096848677202423e+104,1.3516287404978605e+44,7.865976492140349e+22,3163258686353211.0,461144652499.6806
t=154800,9.103526935042399e+106,1.320710186815371e+45,2.5664126684603884e+23,7043677590837940.0,842249223743.1179
t=158400,2.0084008345729835e+109,1.286592921814661e+46,8.360201382456482e+23,1.5667548456248836e+16,1537075553640.7346
t=162000,4.3999421012684456e+111,1.2496544025943747e+47,2.7191915775059045e+24,3.4813730710208068e+16,2802911222480.179
t=165600,9.573502781455497e+113,1.2102748132536159e+48,8.831029978497455e+24,7.727849243128429e+16,5107295605805.3545
t=169200,2.069142480044804e+116,1.1688322741366181e+49,2.863824255000689e+25,1.7137024337847773e+17,9299247591832.758
t=172800,4.442944077485577e+118,1.1256984885895675e+50,9.27382997663336e+25,3.796562725085833e+17,16919483173921.234
t=176400,9.47926616369687e+120,1.0812348602966222e+51,2.998909475477718e+26,8.402981752445464e+17,30762089489793.906
t=180000,2.0098418585604737e+123,1.0357891015758353e+52,9.68438769550078e+26,1.858116022399445e+18,55890851087577.03
t=183600,4.235354522584647e+125,9.896923413370656e+52,3.1231881298339183e+27,4.105039392130493e+18,101477133183885.8
t=187200,8.871835153863725e+127,9.432567308961617e+53,1.005896661950234e+28,9.060978607284401e+18,184121453006209.03
t=190800,1.8475061443465444e+130,8.967735365972838e+54,3.2355597968619343e+28,1.9982692952374714e+19,333852977367193.44
