time,low,high,open,close,volume
2022-01-01 00:05:00,3684.96,3705.64,3688.78,3696.76,951.39620788
2022-01-01 00:10:00,3686.4,3698.33,3696.72,3691.29,1012.72663033
2022-01-01 00:15:00,3683.96,3691.9,3691.25,3687.27,771.03104291
2022-01-01 00:20:00,3686.88,3698.89,3687.27,3698.35,588.40470624
2022-01-01 00:25:00,3694.0,3698.82,3698.82,3696.76,303.21932442
2022-01-01 00:30:00,3692.98,3701.53,3696.68,3700.06,355.87390311
2022-01-01 00:35:00,3700.0,3710.0,3700.37,3708.0,494.51323266
2022-01-01 00:40:00,3705.82,3716.52,3707.73,3713.51,579.64834506
2022-01-01 00:45:00,3710.34,3728.87,3713.51,3722.4,737.28751575
2022-01-01 00:50:00,3718.79,3723.61,3722.31,3721.54,764.8540905
2022-01-01 00:55:00,3719.97,3724.41,3721.44,3722.78,826.44706714
2022-01-01 01:00:00,3710.0,3722.98,3722.79,3714.7,1135.44060856
2022-01-01 01:05:00,3709.15,3722.01,3714.47,3720.47,1234.04717881
2022-01-01 01:10:00,3720.0,3727.12,3720.48,3726.55,1562.20749267
2022-01-01 01:15:00,3725.83,3745.0,3726.63,3743.65,1328.79627649
2022-01-01 01:20:00,3734.53,3748.11,3743.61,3739.36,699.96455162
2022-01-01 01:25:00,3734.59,3741.47,3739.38,3738.3,352.46376951
2022-01-01 01:30:00,3729.44,3741.47,3738.3,3738.54,804.34420198
2022-01-01 01:35:00,3735.48,3743.43,3738.54,3737.59,435.64833028
2022-01-01 01:40:00,3732.69,3737.9,3737.18,3733.6,520.37786179
2022-01-01 01:45:00,3724.77,3734.5,3733.5,3726.44,429.01808419
2022-01-01 01:50:00,3724.55,3732.66,3726.37,3726.21,314.33748628
2022-01-01 01:55:00,3722.04,3728.07,3725.82,3724.22,406.77055113
2022-01-01 02:00:00,3723.38,3729.79,3724.81,3729.39,500.27501757
2022-01-01 02:05:00,3724.3,3730.0,3729.63,3725.28,330.54471316
2022-01-01 02:10:00,3722.01,3727.51,3725.34,3725.83,636.08856952
2022-01-01 02:15:00,3726.32,3737.38,3726.48,3735.74,980.7477411
2022-01-01 02:20:00,3729.48,3736.5,3735.64,3730.9,271.86565125
2022-01-01 02:25:00,3728.61,3732.99,3730.9,3728.98,272.98866165
2022-01-01 02:30:00,3725.07,3730.15,3729.5,3726.98,397.78183009
2022-01-01 02:35:00,3722.32,3727.25,3726.87,3725.62,578.40868571
2022-01-01 02:40:00,3724.91,3729.25,3726.11,3728.3,217.38418277
2022-01-01 02:45:00,3728.21,3731.59,3728.36,3730.65,186.3427517
2022-01-01 02:50:00,3727.53,3733.76,3730.64,3732.07,176.20125148
2022-01-01 02:55:00,3725.52,3734.89,3732.07,3727.94,586.78839409
2022-01-01 03:00:00,3721.99,3729.39,3728.01,3725.22,394.45917302
2022-01-01 03:05:00,3723.3,3728.13,3725.42,3726.52,277.68901004
2022-01-01 03:10:00,3725.05,3729.11,3726.52,3728.29,185.67775213
2022-01-01 03:15:00,3726.73,3736.08,3728.29,3735.56,350.50031147
2022-01-01 03:20:00,3726.97,3735.81,3735.65,3727.01,404.44835182
2022-01-01 03:25:00,3726.73,3730.96,3726.81,3728.8,215.94745005
2022-01-01 03:30:00,3726.5,3730.99,3728.8,3730.99,160.31042817
2022-01-01 03:35:00,3728.38,3730.99,3730.98,3729.96,273.90097363
2022-01-01 03:40:00,3729.19,3730.99,3729.95,3730.48,620.19240475
2022-01-01 03:45:00,3725.99,3730.99,3730.65,3726.27,212.84585598
2022-01-01 03:50:00,3723.56,3727.99,3726.05,3727.6,244.72034772
2022-01-01 03:55:00,3722.68,3727.99,3727.66,3722.96,370.95698986
2022-01-01 04:00:00,3722.98,3726.0,3723.01,3725.31,459.0753996
2022-01-01 04:05:00,3723.0,3727.34,3725.31,3723.61,220.57199352
2022-01-01 04:10:00,3709.85,3724.59,3723.62,3713.2,800.63844753
2022-01-01 04:15:00,3712.0,3718.16,3712.95,3714.26,342.88088944
2022-01-01 04:20:00,3711.39,3719.0,3714.27,3713.72,504.08875149
2022-01-01 04:25:00,3713.11,3718.02,3713.71,3715.12,717.5246107
2022-01-01 04:30:00,3711.52,3715.53,3714.99,3712.48,410.96419281
2022-01-01 04:35:00,3709.33,3713.78,3712.47,3713.58,860.73302426
2022-01-01 04:40:00,3711.33,3716.59,3713.41,3713.85,824.37767491
2022-01-01 04:45:00,3713.51,3720.39,3713.53,3720.14,420.21975022
2022-01-01 04:50:00,3715.22,3721.1,3720.42,3716.01,436.47037212
2022-01-01 04:55:00,3705.09,3716.01,3716.01,3706.87,882.30998092
2022-01-01 05:00:00,3705.0,3710.06,3706.86,3706.14,635.38880771
2022-01-01 05:05:00,3702.43,3706.47,3706.13,3703.79,390.24145133
2022-01-01 05:10:00,3703.77,3713.36,3703.92,3713.35,561.07731141
2022-01-01 05:15:00,3711.18,3715.0,3713.33,3714.17,284.32317028
2022-01-01 05:20:00,3714.49,3753.1,3714.5,3751.96,838.70609426
2022-01-01 05:25:00,3745.3,3757.59,3751.97,3750.25,661.17695167
2022-01-01 05:30:00,3750.26,3763.83,3750.26,3757.92,730.5730734
2022-01-01 05:35:00,3753.09,3761.15,3758.25,3754.27,443.22588074
2022-01-01 05:40:00,3741.29,3755.81,3754.27,3743.29,481.03511839
2022-01-01 05:45:00,3735.31,3743.29,3743.29,3740.07,368.19425425
2022-01-01 05:50:00,3735.2,3740.07,3740.07,3737.09,260.38879551
2022-01-01 05:55:00,3728.39,3740.85,3737.42,3735.0,288.68214776
2022-01-01 06:00:00,3728.77,3737.85,3735.01,3729.03,239.22398751
2022-01-01 06:05:00,3728.0,3738.24,3729.01,3737.24,702.89671417
2022-01-01 06:10:00,3734.82,3742.87,3737.28,3741.41,280.43127728
2022-01-01 06:15:00,3731.58,3741.57,3741.3,3731.73,429.32746972
2022-01-01 06:20:00,3728.57,3734.71,3731.82,3729.48,237.99323133
2022-01-01 06:25:00,3725.49,3730.05,3729.23,3727.64,211.71887448
2022-01-01 06:30:00,3724.68,3730.15,3727.64,3728.17,849.86545683
2022-01-01 06:35:00,3721.02,3730.12,3728.16,3723.9,794.34492258
2022-01-01 06:40:00,3721.03,3726.74,3723.48,3722.07,751.32827754
2022-01-01 06:45:00,3714.21,3726.83,3722.07,3716.57,800.19091126
2022-01-01 06:50:00,3711.32,3717.02,3716.25,3712.54,907.56993626
2022-01-01 06:55:00,3707.16,3719.19,3712.56,3710.33,822.71052041
2022-01-01 07:00:00,3703.79,3712.47,3710.33,3712.03,971.44423487
2022-01-01 07:05:00,3701.06,3712.3,3711.8,3705.58,730.4336534
2022-01-01 07:10:00,3702.48,3707.11,3705.57,3706.97,704.93196206
2022-01-01 07:15:00,3706.14,3714.53,3707.05,3712.41,771.72543563
2022-01-01 07:20:00,3705.37,3713.94,3712.42,3707.48,677.20565737
2022-01-01 07:25:00,3705.15,3709.09,3706.81,3706.8,362.28716869
2022-01-01 07:30:00,3703.02,3710.51,3707.02,3709.38,188.17374571
2022-01-01 07:35:00,3708.06,3714.64,3709.58,3714.31,148.95677137
2022-01-01 07:40:00,3712.47,3721.21,3714.32,3720.66,130.05071288
2022-01-01 07:45:00,3716.87,3723.72,3721.05,3716.88,396.69604239
2022-01-01 07:50:00,3716.56,3723.65,3716.88,3721.99,333.67435158
2022-01-01 07:55:00,3700.0,3722.0,3722.0,3714.27,1015.56339517
2022-01-01 08:00:00,3708.25,3717.81,3714.88,3714.87,308.09399616
2022-01-01 08:05:00,3710.59,3717.31,3715.27,3712.58,86.43957217
2022-01-01 08:10:00,3711.37,3717.77,3712.57,3716.51,367.8653336
2022-01-01 08:15:00,3716.14,3724.99,3716.52,3721.79,131.04976129
2022-01-01 08:20:00,3717.67,3722.05,3722.03,3720.29,111.92315186
2022-01-01 08:25:00,3719.29,3725.32,3720.13,3721.36,88.29439359
2022-01-01 08:30:00,3718.73,3723.68,3721.72,3719.62,120.08782463
2022-01-01 08:35:00,3716.21,3722.95,3719.81,3716.46,160.6233728
2022-01-01 08:40:00,3716.46,3724.31,3716.46,3722.74,102.38629491
2022-01-01 08:45:00,3721.77,3733.47,3722.22,3728.82,211.88540727
2022-01-01 08:50:00,3720.2,3729.88,3729.36,3723.51,50.37889751
2022-01-01 08:55:00,3720.55,3723.99,3723.02,3720.88,156.99700567
2022-01-01 09:00:00,3716.28,3724.89,3721.69,3718.14,113.11743889
2022-01-01 09:05:00,3718.12,3729.07,3718.12,3727.37,134.19848151
2022-01-01 09:10:00,3725.33,3730.0,3726.82,3729.63,71.19434077
2022-01-01 09:15:00,3721.62,3730.0,3729.7,3722.55,60.35111511
2022-01-01 09:20:00,3722.01,3726.31,3723.25,3722.49,67.23240606
2022-01-01 09:25:00,3720.58,3727.8,3722.77,3722.43,103.50128231
2022-01-01 09:30:00,3721.87,3726.71,3722.65,3722.29,27.67713118
2022-01-01 09:35:00,3714.81,3722.23,3722.23,3715.39,109.53736202
2022-01-01 09:40:00,3709.58,3716.44,3715.31,3714.07,205.39657219
2022-01-01 09:45:00,3711.21,3720.54,3714.34,3718.73,82.26254624
2022-01-01 09:50:00,3711.79,3719.17,3718.72,3711.79,146.30601804
2022-01-01 09:55:00,3710.53,3718.95,3711.56,3718.44,47.57479404
2022-01-01 10:00:00,3717.77,3732.08,3718.31,3727.15,236.51046182
2022-01-01 10:05:00,3720.31,3727.52,3727.15,3723.67,85.5136747
2022-01-01 10:10:00,3720.0,3728.37,3723.68,3720.0,102.43639137
2022-01-01 10:15:00,3713.01,3719.71,3719.66,3714.88,88.34315496
2022-01-01 10:20:00,3709.01,3715.83,3715.2,3713.96,142.05308991
2022-01-01 10:25:00,3690.0,3714.88,3714.48,3692.01,579.72090503
2022-01-01 10:30:00,3674.02,3691.86,3691.27,3677.96,536.71107484
2022-01-01 10:35:00,3675.4,3686.37,3677.94,3685.13,186.15421864
2022-01-01 10:40:00,3682.73,3699.97,3685.55,3698.95,216.13736336
2022-01-01 10:45:00,3690.06,3708.65,3699.23,3694.49,233.99954532
2022-01-01 10:50:00,3693.28,3705.74,3694.49,3698.13,268.92861689
2022-01-01 10:55:00,3690.52,3698.32,3697.89,3691.49,66.60848799
2022-01-01 11:00:00,3691.26,3699.73,3691.84,3699.22,65.2019331
2022-01-01 11:05:00,3695.97,3702.3,3699.23,3701.55,59.58589913
