,q0=0.005,q0=0.01,q0=0.015,q0=0.02,q0=0.025,q0=0.03,q0=0.035,q0=0.04,q0=0.045,q0=0.05
alpha=0.01,,,,,,,,,,
alpha=0.025,,,,,,,,,,
alpha=0.05,158.19572899012275,79.09786449506137,52.73190966337425,39.548932247530686,31.63914579802455,26.365954831687127,22.59938985573182,19.774466123765343,17.57730322112475,15.819572899012275
alpha=0.075,95.76605801554632,47.88302900777316,31.922019338515444,23.94151450388658,19.153211603109266,15.961009669257722,13.680865430792332,11.97075725194329,10.640673112838481,9.576605801554633
alpha=0.1,71.21460970121286,35.60730485060643,23.738203233737625,17.803652425303216,14.242921940242574,11.869101616868813,10.173515671601837,8.901826212651608,7.912734411245875,7.121460970121287
