,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
t=536400,inf,1.2694562214198238e+126,1.0236126771115477e+63,5.580305303585409e+41,9.156522356286213e+30
t=540000,inf,8.852580998079179e+126,2.702461794466004e+63,1.0619870612852281e+42,1.4759998783475308e+31
t=543600,inf,6.173095865537063e+127,7.134690045638056e+63,2.0210438701382603e+42,2.3792449910872155e+31
t=547200,inf,4.304445288567351e+128,1.8835725588370694e+64,3.846161685954013e+42,3.835209615067033e+31
t=550800,inf,3.001321686046829e+129,4.972575087864795e+64,7.319385922594791e+42,6.182101999191329e+31
t=554400,inf,2.0926143890838183e+130,1.3127201457930248e+65,1.3928908929623833e+43,9.965070255433471e+31
t=558000,inf,1.4589731416948949e+131,3.4654114759222396e+65,2.6506654970012036e+43,1.6062817313936787e+32
t=561600,inf,1.0171545257417126e+132,9.148067904501253e+65,5.044151880727226e+43,2.5891681150784787e+32
t=565200,inf,7.091012358884338e+132,2.4148819947432235e+66,9.59879723702771e+43,4.173457289631447e+32
t=568800,inf,4.943235871605261e+133,6.37462236404707e+66,1.826589442962132e+44,6.727115861900536e+32
t=572400,inf,3.445849662669049e+134,1.6826937287914523e+67,3.4758462678401445e+44,1.0843240008229876e+33
t=576000,inf,2.4019465171396034e+135,4.441685515033321e+67,6.6141752264090665e+44,1.747778851756454e+33
t=579600,inf,1.6742197770725711e+136,1.1724186027343466e+68,1.2585960966089927e+45,2.817157662131062e+33
t=583200,inf,1.1669274120095464e+137,3.094637682701246e+68,2.394928985746223e+45,4.540807660499362e+33
t=586800,inf,8.133127210670967e+137,8.168252991738016e+68,4.557162374540035e+45,7.319010284503264e+33
t=590400,inf,5.66831199221511e+138,2.1559608055508313e+69,8.671455423060394e+45,1.1796927828771232e+34
t=594000,inf,3.950321959972068e+139,5.690427558958025e+69,1.6500045641450754e+46,1.9014408421028064e+34
t=597600,inf,2.7529220287887634e+140,1.5019011163660482e+70,3.139597527762752e+46,3.064742991328732e+34
t=601200,inf,1.9183953151420337e+141,3.963968827485813e+70,5.973907870966805e+46,4.939723792651481e+34
t=604800,inf,1.3367961282773475e+142,1.0461925323073114e+71,1.136681516572166e+47,7.961752074579592e+34
t=608400,inf,9.314836471039283e+142,2.7611216447600553e+71,2.1627924061413155e+47,1.2832522310670991e+35
t=612000,inf,6.490353834938169e+143,7.287055027759808e+71,4.1151593775653615e+47,2.068296590798384e+35
t=615600,inf,4.522147209612596e+144,1.923141259346048e+72,7.829865363173304e+47,3.333581131696516e+35
t=619200,inf,3.1506800243102845e+145,5.0753148910020424e+72,1.4897649902127425e+48,5.372874331318737e+35
t=622800,inf,2.195064481142465e+146,1.3393914232005079e+73,2.8345041251650965e+48,8.659639074058023e+35
t=626400,inf,1.5292332807004075e+147,3.534636766479998e+73,5.393023420284461e+48,1.3956945092288416e+36
t=630000,inf,1.0653290521422437e+148,9.32770634874676e+73,1.0260852072905197e+49,2.249460818996576e+36
t=633600,inf,7.42125689724358e+148,2.461488319221343e+74,1.9522277316609502e+49,3.625467322977472e+36
t=637200,inf,5.169575934193353e+149,6.495514745771267e+74,3.71427010505631e+49,5.843150472543001e+36
t=640800,inf,3.600942800340261e+150,1.7140452667695573e+75,7.066631825229813e+49,9.417327481625083e+36
t=644400,inf,2.508195985121114e+151,4.5229726493244674e+75,1.34445864101172e+50,1.5177694845420455e+37
t=648000,inf,1.7469913133536225e+152,1.19348959100279e+76,2.557869895919021e+50,2.4461411627438996e+37
t=651600,inf,1.216757812547067e+153,3.149244275179506e+76,4.866374176063225e+50,3.9423464176812026e+37
t=655200,inf,8.474259329100344e+153,8.309734322464428e+76,9.258243805017628e+50,6.353684320216967e+37
t=658800,inf,5.901788648314723e+154,2.1926082537963241e+77,1.7613587271111632e+51,1.0239861407090644e+38
t=662400,inf,4.1100768023188547e+155,5.785329563616038e+77,3.350912806317204e+51,1.6502894856988869e+38
t=666000,inf,2.8622046909638097e+156,1.5264702815456055e+78,6.374917511416378e+51,2.6596458334820693e+38
t=669600,inf,1.993131681727071e+157,4.027558256397379e+78,1.2127803828285802e+52,4.286325214229531e+38
t=673200,inf,1.3878928254427262e+158,1.0626459039697514e+79,2.3072036481387368e+52,6.907868741990105e+38
t=676800,inf,9.664081555501428e+158,2.8036811028724027e+79,4.389205239261193e+52,1.1132704838597755e+39
t=680400,inf,6.7289924475780115e+159,7.397108559936291e+79,8.349915131955127e+52,1.7941344494875537e+39
t=684000,inf,4.685159442322667e+160,1.9515907092559858e+80,1.5884533581919557e+53,2.8913919038109476e+39
t=687600,inf,3.261997838482536e+161,5.148834091008101e+80,3.0217819742546095e+53,4.65968579663073e+39
t=691200,inf,2.2710568268952754e+162,1.3583838048113174e+81,5.748414261446543e+53,7.509378845451826e+39
t=694800,inf,1.581093126491799e+163,3.583682844745762e+81,1.093526425972184e+54,1.2101776218106643e+40
t=698400,inf,1.1007079271145934e+164,9.45431677692234e+81,2.080208270516357e+54,1.9502574872453568e+40
t=702000,inf,7.662526837351246e+164,2.4941597973421934e+82,3.957133350005023e+54,3.142914269140777e+40
t=705600,inf,5.334052301194967e+165,6.579789135247982e+82,7.527502393227395e+54,5.064899962169319e+40
t=709200,inf,3.713025676728165e+166,1.7357744289171845e+83,1.4319158200028044e+55,8.162195205753987e+40
t=712800,inf,2.584545197569903e+167,4.578974638334195e+83,2.723832886889849e+55,1.3153485836248972e+41
t=716400,inf,1.7989781135419915e+168,1.2079163616161242e+84,5.181313091629992e+55,2.1196909051598183e+41
t=720000,inf,1.252141098491994e+169,3.186391945867533e+84,9.855885209198395e+55,3.415875339923189e+41
t=723600,inf,8.714979614085622e+169,8.405339597396475e+84,1.8747694950431434e+56,5.504644825138521e+41
t=727200,inf,6.065481275944136e+170,2.2172011875285116e+85,3.5661251405754443e+56,8.870628986351966e+41
t=730800,inf,4.221336895687827e+171,5.848557175924283e+85,6.783311430994031e+56,1.4294776274608092e+42
t=734400,inf,2.9377895872371763e+172,1.5427167955177916e+86,1.2902784032180164e+57,2.3035527151228217e+42
t=738000,inf,2.0444540605459424e+173,4.069279645740211e+86,2.4542658867790576e+57,3.7120755235391176e+42
t=741600,inf,1.422722138681595e+174,1.0733534468006457e+87,4.668273823088751e+57,5.981819691705094e+42
t=745200,inf,9.900313677463825e+174,2.8311435796878564e+87,8.879480927883223e+57,9.639349105914464e+42
t=748800,inf,6.88912427852584e+175,7.467495757207889e+87,1.688944573367484e+58,1.553316614175224e+43
t=752400,inf,4.7936392746522015e+176,1.969618221233071e+88,3.212475282287391e+58,2.503053675786472e+43
t=756000,inf,3.335439075035275e+177,5.1949710323294125e+88,6.110275430576497e+58,4.033464559661359e+43
t=759600,inf,2.3207431209540795e+178,1.37018195567797e+89,1.1621933632136394e+59,6.499564308619653e+43
t=763200,inf,1.614684191194981e+179,3.613827535111328e+89,2.2105107046751834e+59,1.0473411616728622e+44
t=766800,inf,1.1234005721990466e+180,9.531268293546035e+89,4.204394866755552e+59,1.6876797369126334e+44
t=770400,inf,7.815707140604813e+180,2.5137847519958096e+90,7.996704192824681e+59,2.7195049066498502e+44
t=774000,inf,5.4373659989523e+181,6.629787816315076e+90,1.5209510615351328e+60,4.382153778021656e+44
t=777600,inf,3.782644882067538e+182,1.7484988329648855e+91,2.8927848868273598e+60,7.0612785967210234e+44
t=781200,inf,2.631415035659903e+183,4.6113200686029626e+91,5.501913335848705e+60,1.1378291473163144e+45
t=784800,inf,1.8305009985725373e+184,1.2161283640632134e+92,1.0464249156324741e+61,1.8334486354202563e+45
t=788400,inf,1.2733197832036625e+185,3.207213154669612e+92,1.990211055845436e+61,2.9543261214344524e+45
t=792000,inf,8.857108430870824e+185,8.458055178368974e+92,3.785183587495189e+61,4.760429353042456e+45
t=795600,inf,6.160748132607916e+186,2.230527142433062e+93,7.198989301855746e+61,7.670643989074225e+45
t=799200,inf,4.285110479540839e+187,5.882187248481292e+93,1.3691558573421535e+62,1.2359916883083444e+46
t=802800,inf,2.9804217775967536e+188,1.5511883650871326e+94,2.6039404284146723e+62,1.991577926134272e+46
t=806400,inf,2.0729108551626312e+189,4.090577427383428e+94,4.952289331192699e+62,3.2090545307167345e+46
t=810000,inf,1.44168630852994e+190,1.0786960966982759e+95,9.418414491125343e+62,5.170766635748779e+46
t=813600,inf,1.0026473947270917e+191,2.8445137190398446e+95,1.791209676360974e+63,8.331646503175372e+46
t=817200,inf,6.972893772865092e+191,7.50086620065038e+95,3.406527555759008e+63,1.34247064505351e+47
t=820800,inf,4.849146311628484e+192,1.977922585267144e+96,6.478496852054782e+63,2.1631011815671917e+47
t=824400,inf,3.3721353833601767e+193,5.215568692443806e+96,1.2320645949008604e+64,3.485354467782165e+47
t=828000,inf,2.3449427608930806e+194,1.3752719435499986e+97,2.343093379249058e+64,5.615845649822451e+47
t=831600,inf,1.6305986356332718e+195,3.626352803737841e+97,4.4559737439156595e+64,9.048601687023442e+47
t=835200,inf,1.1338341706290132e+196,9.561942005181987e+97,8.474080202024491e+64,1.4579609334702728e+48
t=838800,inf,7.88387445379921e+196,2.5212549335094988e+98,1.611533918742147e+65,2.3491373952092565e+48
t=842400,inf,5.4817295243252206e+197,6.647862746159846e+98,3.0646669057761536e+65,3.785027795987424e+48
t=846000,inf,3.811389241781312e+198,1.7528388004633814e+99,5.828060703198382e+65,6.098567845605112e+48
t=849600,inf,2.6499449622470935e+199,4.621645022899377e+99,1.1083114699326874e+66,9.826181590041622e+48
t=853200,inf,1.8423761604756092e+200,1.2185571117069103e+100,2.107640692731855e+66,1.583214866814325e+49
t=856800,inf,1.2808778315428404e+201,3.2128460095202648e+100,4.0080056129025115e+66,2.550897971056465e+49
t=860400,inf,8.904819410287582e+201,8.470882801662607e+100,7.621791753294635e+66,4.11002516057691e+49
t=864000,inf,6.190569122003294e+202,2.2333778194636764e+101,1.449381988758719e+67,6.622074213365586e+49
t=867600,inf,4.3035231303437295e+203,5.888307870422564e+101,2.75616794922854e+67,1.0669443921907147e+50
t=871200,inf,2.9916160811087875e+204,1.552435716560831e+102,5.241137397011648e+67,1.7190468496743312e+50
t=874800,inf,2.079580703229639e+205,4.092904118371125e+102,9.966495449477842e+67,2.769694280001356e+50
t=878400,inf,1.4455527683687329e+206,1.0790569473451396e+103,1.8952062235539736e+68,4.462458152937888e+50
t=882000,inf,1.0048018360939121e+207,2.8448019057298492e+103,3.603857084668098e+68,7.189764865239109e+50
t=885600,inf,6.984177005931893e+207,7.499884701264856e+103,6.852921289137315e+68,1.1583863575383734e+51
t=889200,inf,4.854432312788242e+208,1.9772066204584495e+104,1.3031098757900775e+69,1.8663384524801945e+51
t=892800,inf,3.374039047599104e+209,5.2124806797331005e+104,2.4778981385664553e+69,3.0069458287029086e+51
t=896400,inf,2.3450399599359546e+210,1.374142634005185e+105,4.711758200939832e+69,4.8446124607032283e+51
t=900000,inf,1.6298173098204884e+211,3.6225479617970446e+105,8.959415644533589e+69,7.80532020399953e+51
t=903600,inf,1.1327033519156981e+212,9.549738254003559e+105,1.7036231383117867e+70,1.257536670332251e+52
t=907200,inf,7.87194538388976e+212,2.5174671176660148e+106,3.239399731971488e+70,2.0260438971303449e+52
t=910800,inf,5.470621035252343e+213,6.636378980006643e+106,6.15960314430724e+70,3.264189090192378e+52
t=914400,inf,3.8017180695777377e+214,1.749418058586017e+107,1.1712190062583314e+71,5.258962082983621e+52
t=918000,inf,2.6418730505889524e+215,4.611594417563485e+107,2.2270024315040276e+71,8.472723806253823e+52
t=921600,inf,1.835831377386115e+216,1.215636403549103e+108,4.2344838658048945e+71,1.3650367555180138e+53
t=925200,inf,1.2756821595626294e+217,3.20443451743186e+108,8.051512955590551e+71,2.199195986788391e+53
t=928800,inf,8.864231077299285e+217,8.446839389092418e+108,1.530917342813414e+72,3.5430870494074006e+53
t=932400,inf,6.1592607840110434e+218,2.226548818096843e+109,2.910872838979413e+72,5.70818469633605e+53
t=936000,inf,4.279618889197256e+219,5.869017111028506e+109,5.534673157004215e+72,9.19628715783672e+53
t=939600,inf,2.973518336323575e+220,1.5470121234910142e+110,1.0523446319322867e+73,1.4815808294802649e+54
t=943200,inf,2.0659757066623556e+221,4.077718716360395e+110,2.000881075274815e+73,2.3869125155361215e+54
t=946800,inf,1.4353866613462019e+222,1.0748207355468333e+111,3.804362125440563e+73,3.845439521090203e+54
t=950400,inf,9.972447292213677e+222,2.833022675127641e+111,7.233353979531619e+73,6.195178263906343e+54
t=954000,inf,6.928253695352975e+223,7.467226511897636e+111,1.3752919310610695e+74,9.980676390184753e+54
t=957600,inf,4.8132125958202195e+224,1.968175761044171e+112,2.614853657607077e+74,1.6079202038911375e+55
t=961200,inf,3.3437636914244464e+225,5.187567119352025e+112,4.971611783703638e+74,2.5904031964192975e+55
t=964800,inf,2.32287276313411e+226,1.3672845073938189e+113,9.452449513165853e+74,4.1731943020706435e+55
t=968400,inf,1.6136324419132635e+227,3.6037062958424114e+113,1.7971688040103068e+75,6.723078987562203e+55
t=972000,inf,1.1209163463107715e+228,9.4980670959475e+113,3.4168879195536627e+75,1.0830941178321085e+56
t=975600,inf,7.786301537503335e+228,2.5033204328959787e+114,6.496358185337472e+75,1.7448679374818578e+56
t=979200,inf,5.408523284851143e+229,6.597707210999351e+114,1.2351126447644739e+76,2.8109771494933645e+56
t=982800,inf,3.7567794298041436e+230,1.7388616681070947e+115,2.348229609752316e+76,4.528459224894834e+56
t=986400,inf,2.6094094900642047e+231,4.5828162720821e+115,4.4644909601142226e+76,7.295280710784973e+56
t=990000,inf,1.812417983838682e+232,1.2078007453581425e+116,8.487909520575982e+76,1.1752545973906137e+57
t=993600,inf,1.258821382401399e+233,3.183124248768231e+116,1.6137154235446294e+77,1.8933038636526896e+57
t=997200,inf,8.742980715910828e+233,8.38894517701861e+116,3.0679662857807443e+77,3.0500509947942938e+57
