_start,_stop,_time,_value,_field,_measurement,id,influx-sushi,type
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T00:00:00Z,1.20E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T01:00:00Z,1.20E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T02:00:00Z,1.20E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T03:00:00Z,1.20E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T04:00:00Z,1.20E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T05:00:00Z,1.20E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T06:00:00Z,1.20E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T07:00:00Z,1.20E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T08:00:00Z,1.20E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T09:00:00Z,1.20E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
