,timestamp,tick,secondsPerLiquidity,initialized
115,1625475823,-418371680032,53028336908946735642639,True
116,1625475821,-418371525382,53028336188378921988322,True
117,1625475764,-418367118427,53028315652196232840286,True
118,1625472528,-418117069471,53027149710650719135317,True
119,1625472121,-418085620174,53027003067395362078201,True
120,1625472121,-418085620174,53027003067395362078201,True
121,1625471405,-418030304878,53026745090562842046517,True
122,1625471263,-418019334526,53026691996897959663012,True
123,1625470818,-417984955606,53026531674813420516996,True
124,1625470069,-417927095356,53026261829327308561118,True
125,1625470046,-417925318261,53026253543017321144583,True
126,1625469853,-417910403607,53026184010068296301480,True
127,1625469623,-417892624607,53026101151432875518996,True
128,1625469269,-417865254389,53025973621185314836390,True
129,1625469231,-417862316077,53025959931497723576676,True
130,1625468785,-417827827789,53025799257795994581077,True
131,1625468520,-417807335869,53025703790110122571247,True
132,1625466843,-417677656813,53025099707948366009233,True
133,1625466798,-417674177053,53025083495036237319683,True
134,1625466746,-417670155997,53025064758062812407291,True
135,1625465848,-417600709167,53024741184944820650969,True
136,1625465800,-417596997999,53024723889277043808761,True
137,1625465794,-417596534187,53024721727318571703485,True
138,1625465667,-417586719627,53024675963398112473033,True
139,1625465507,-417574357227,53024618308065250450416,True
140,1625464810,-417520503522,53024367123937865212972,True
141,1625464801,-417519808254,53024363880527325087955,True
142,1625464284,-417479874140,53024177564610742350855,True
143,1625462345,-417330113536,53023478789828819861035,True
144,1625462334,-417329263863,53023474825660381930459,True
145,1625462320,-417328182265,53023469780355097291544,True
146,1625462315,-417327795965,53023467978460352777646,True
147,1625462184,-417317674512,53023420768818046513507,True
148,1625460245,-417167849921,53022721994036124023687,True
149,1625460125,-417158578601,53022678748562255690125,True
150,1625459673,-417123656629,53022515950709770709699,True
151,1625459666,-417123115858,53022513429504090632569,True
152,1625459653,-417122111686,53022508747264970489327,True
153,1625458652,-417044798450,53022148214852719459665,True
154,1625458236,-417012667442,53021998383200874875910,True
155,1625457696,-416970957302,53021803890191268925843,True
156,1625455107,-416771003654,53020871404261880398575,True
157,1625455095,-416770076966,53020867082195000266352,True
158,1625455087,-416769459190,53020864200817080178203,True
159,1625454208,-416701588084,53020548305912837132500,True
160,1625454208,-416701588084,53020548305912837132500,True
161,1625454166,-416698344928,53020533211958368181511,True
162,1625453640,-416657724052,53020343761360122385705,True
163,1625453300,-416631462792,53020221302798518639367,True
164,1625451706,-416508319916,53019647188247941075649,True
165,1625451690,-416507083708,53019641425492100899351,True
166,1625451260,-416473858898,53019486551428896161335,True
167,1625449492,-416337250842,53018848960388552445982,True
168,1625449480,-416336323422,53018844633080940685550,True
169,1625449462,-416334932112,53018838142119523044902,True
170,1625449445,-416333617927,53018832011767073050956,True
171,1625449432,-416332612910,53018827323850493643821,True
172,1625448721,-416277642656,53018570930874496838197,True
173,1625448715,-416277178706,53018568767220690957981,True
174,1625448668,-416273543867,53018551818599211562954,True
175,1625448480,-416259000563,53018491044201023892230,True
176,1625448425,-416254744553,53018473264456873243880,True
177,1625448400,-416252809653,53018465182754986585539,True
178,1625448258,-416241812747,53018420236931863130601,True
179,1625447215,-416161017795,53018090771126733984795,True
180,1625445682,-416042265483,53017606150534833170800,True
181,1625444320,-415936762239,53017175586668275584451,True
182,1625443779,-415894855297,53017004556042437327508,True
183,1625443777,-415894700355,53017003923766556224895,True
184,1625443481,-415871767163,53016910346936153038102,True
185,1625443466,-415870605128,53016905604867044768501,True
186,1625443322,-415859450600,53016860081003605380332,True
187,1625443285,-415856583803,53016848383899804981983,True
188,1625443276,-415855886141,53016845538658340020223,True
189,1625442871,-415824488516,53016734061482818289170,True
190,1625442832,-415821464885,53016723326643693974328,True
191,1625442427,-415790064425,53016611849468172243275,True
192,1625442403,-415788203969,53016604262157599011914,True
193,1625442063,-415761853969,53016496775257811567624,True
194,1625441989,-415756117415,53016476406588703893309,True
195,1625440655,-415652700399,53016109220040195277939,True
196,1625440640,-415651537554,53016105091255916695308,True
197,1625440624,-415650297298,53016100033048867874401,True
198,1625440544,-415644097378,53016074742013623769863,True
199,1625440220,-415618992562,53015972313320885146481,True
200,1625440220,-415618992562,53015972313320885146481,True
201,1625440040,-415605046702,53015915408491585911269,True
202,1625439948,-415597919738,53015886323801055191050,True
203,1625439910,-415594976372,53015874286312706405571,True
204,1625439612,-415571896570,53015779887061971193126,True
205,1625439574,-415568950354,53015769427475132117126,True
206,1625439479,-415561582724,53015743278508034427126,True
207,1625438980,-415522880783,53015605927617700244915,True
208,1625438926,-415518687197,53015589389872339642599,True
